term,score,,,,,,
late,-1,,,,,,
laudable,1,,,,,,
laugh,2,,,,,,
laughable,-2,,,,,,
laughing,2,,,,,,
laughingstock,-2,,,,,,
laughter,2,,,,,,
lavish,-2,,,,,,
lawless,-2,,,,,,
lawsuit,-2,,,,,,
lazie,-2,,,,,,
lazily,-2,,,,,,
lazy,-2,,,,,,
leading,1,,,,,,
leak,-1,,,,,,
leakage,-1,,,,,,
leaking,-1,,,,,,
least,-1,,,,,,
leave,-1,,,,,,
leaveam,-1,,,,,,
leech,-1,,,,,,
leemee,-1,,,,,,
legbere,-1,,,,,,
legit,1,,,,,,
liable,-1,,,,,,
liar,-2,,,,,,
libel,-1,,,,,,
lie,-1,,,,,,
lied,-1,,,,,,
lielie,-1,,,,,,
lies,-1,,,,,,
lifeless,-2,,,,,,
like,1,,,,,,
liked,1,,,,,,
likes,1,,,,,,
liking,1,,,,,,
limit,-1,,,,,,
limitation,-2,,,,,,
limited,-1,,,,,,
limp,-2,,,,,,
liquidate,-2,,,,,,
liquidation,-2,,,,,,
litig,-2,,,,,,
litter,-1,,,,,,
little,-1,,,,,,
livel,2,,,,,,
livelihood,1,,,,,,
liver,1,,,,,,
lmao,2,,,,,,
loath,-1,,,,,,
lodge,1,,,,,,
logical,1,,,,,,
lol,2,,,,,,
lolol,2,,,,,,
lone,-2,,,,,,
lonely,-2,,,,,,
long,-2,,,,,,
longing,-1,,,,,,
looney,-1,,,,,,
loony,-1,,,,,,
loose,-1,,,,,,
lose,-1,,,,,,
loser,-1,,,,,,
loses,-2,,,,,,
losing,-1,,,,,,
loss,-2,,,,,,
lost,-1,,,,,,
loth,-1,,,,,,
loud,1,,,,,,
lous,-1,,,,,,
lousy,-1,,,,,,
love,2,,,,,,
loved,2,,,,,,
loveless,-1,,,,,,
loveliness,2,,,,,,
lovely,2,,,,,,
lovemak,1,,,,,,
lover,1,,,,,,
loves,1,,,,,,
lovesome,1,,,,,,
lovin,1,,,,,,
loving,1,,,,,,
loving,2,,,,,,
low,-2,,,,,,
low,-1,,,,,,
lower,1,,,,,,
loyal,2,,,,,,
luck,1,,,,,,
lucked,1,,,,,,
lucki,1,,,,,,
luckily,1,,,,,,
luckless,-1,,,,,,
lucks,1,,,,,,
lucky,1,,,,,,
lucrative,1,,,,,,
lucubrate,1,,,,,,
ludicrous,-1,,,,,,
lull,1,,,,,,
lunatic,-2,,,,,,
lunkhead,-2,,,,,,
lure,-2,,,,,,
lurk,-1,,,,,,
luscious,1,,,,,,
lust,-1,,,,,,
luv,2,,,,,,
lwkmd,1,,,,,,
lwkmh,1,,,,,,
lying,-1,,,,,,
macabre,-1,,,,,,
maculate,-1,,,,,,
mad,-1,,,,,,
madden,-1,,,,,,
madder,-1,,,,,,
maddest,-1,,,,,,
madly,2,,,,,,
madman,-2,,,,,,
madmen,-2,,,,,,
madness,-2,,,,,,
mafo ,1,,,,,,
maga,-2,,,,,,
magnification,1,,,,,,
magniloquent,1,,,,,,
mago,-2,,,,,,
magomago,-2,,,,,,
makesense,2,,,,,,
maladjusted,-2,,,,,,
maladjustment,-2,,,,,,
malady,-2,,,,,,
maledict,-1,,,,,,
malefactor ,-1,,,,,,
malfunction,-2,,,,,,
malice,-1,,,,,,
malicious,-2,,,,,,
malign,-1,,,,,,
malignan,-1,,,,,,
maltreatment ,-1,,,,,,
malu,-2,,,,,,
mangle,-2,,,,,,
maniac,-1,,,,,,
manipulate,-2,,,,,,
manslaughter,-1,,,,,,
mar,-2,,,,,,
marginal,-2,,,,,,
martyr,-2,,,,,,
marvelous,2,,,,,,
mash,-1,,,,,,
masochis,-1,,,,,,
massacre,-2,,,,,,
mate,2,,,,,,
maye,-2,,,,,,
meager,-2,,,,,,
meanie,-2,,,,,,
meaningless,-2,,,,,,
mebo,-1,,,,,,
meddle,-2,,,,,,
mediocr,-2,,,,,,
meek,2,,,,,,
meguard,1,,,,,,
melanchol,-1,,,,,,
meliorate,2,,,,,,
mellow,1,,,,,,
melodramatic,-2,,,,,,
melt,-1,,,,,,
menace,-1,,,,,,
menial,-2,,,,,,
merciful,1,,,,,,
mercilessly,-1,,,,,,
meretricious,-1,,,,,,
merit,2,,,,,,
merry,2,,,,,,
mess,-1,,,,,,
messy,-1,,,,,,
mighty,1,,,,,,
mind,1,,,,,,
minimal,1,,,,,,
minor,-1,,,,,,
miraculous,1,,,,,,
misbehave,-2,,,,,,
misbehavior,-2,,,,,,
mischief,-2,,,,,,
mischievous,-2,,,,,,
mischievously,-1,,,,,,
misdirect ,-1,,,,,,
miser,-1,,,,,,
miserable,-1,,,,,,
misfortunate,-1,,,,,,
misfortune,-2,,,,,,
mishandle,-2,,,,,,
mishap,-2,,,,,,
misinform,-2,,,,,,
mislead,-2,,,,,,
mislead,-1,,,,,,
misleading,-1,,,,,,
misplace,-2,,,,,,
misrepresent,-2,,,,,,
miss,-1,,,,,,
missed,-1,,,,,,
misses,-1,,,,,,
missing,-1,,,,,,
mistake,-1,,,,,,
mistaken,-1,,,,,,
mistakenly,-1,,,,,,
mistreat ,-1,,,,,,
mistrust,-2,,,,,,
misuse ,-1,,,,,,
moan,-2,,,,,,
mock,-1,,,,,,
mocked,-1,,,,,,
mocker,-1,,,,,,
mocking,-1,,,,,,
mockingbird,1,,,,,,
mocks,-1,,,,,,
mogoloid,-2,,,,,,
molest,-1,,,,,,
momentous,1,,,,,,
mong,-2,,,,,,
monkey,-1,,,,,,
monotonous,-2,,,,,,
monotony,-2,,,,,,
monster,-2,,,,,,
monstrous,-1,,,,,,
mooch,-2,,,,,,
moodi,-1,,,,,,
moody,-2,,,,,,
moral,1,,,,,,
moron,-1,,,,,,
mortif,-1,,,,,,
motherfucker,-1,,,,,,
motionless,-2,,,,,,
motivational,1,,,,,,
motley,-2,,,,,,
mourn,-1,,,,,,
muah,1,,,,,,
much,-1,,,,,,
muddle,-2,,,,,,
muddy,-2,,,,,,
muffle,-1,,,,,,
mugu,-2,,,,,,
mumble,-2,,,,,,
mumu,-2,,,,,,
mundane,-2,,,,,,
murder,-1,,,,,,
murky,-2,,,,,,
muthafuck,-1,,,,,,
mutter,-2,,,,,,
nab,-1,,,,,,
nack,-1,,,,,,
nag,-2,,,,,,
naga,1,,,,,,
naive,-1,,,,,,
naked,-1,,,,,,
nalie,-1,,,,,,
nark,-2,,,,,,
naso,1,,,,,,
nast,-1,,,,,,
nasturtium,1,,,,,,
nasty,-1,,,,,,
natural,-1,,,,,,
naughty,-1,,,,,,
nauseate,-1,,,,,,
nazi,-2,,,,,,
neat,1,,,,,,
neatly,1,,,,,,
nebulous,-2,,,,,,
needful,1,,,,,,
needless,-1,,,,,,
needy,-1,,,,,,
negative,-1,,,,,,
negatively,-1,,,,,,
neglect,-1,,,,,,
neglect,-1,,,,,,
neglectful,-1,,,,,,
nemesis,-1,,,,,,
nerd,-1,,,,,,
nervous,-1,,,,,,
nestle,1,,,,,,
nettle,-2,,,,,,
neurotic,-1,,,,,,
neutralize,-2,,,,,,
never,-1,,,,,,  
nice,2,,,,,,
nicely,2,,,,,, 
nightmare,-1,,,,,,
nimble,2,,,,,,
nincompoop,-2,,,,,,
ninny,-2,,,,,,
nix,-2,,,,,,
noconfam,-1,,,,,,
nodo,-1,,,,,,
nofit,-1,,,,,,
nogetidea,-1,,,,,,
nogree,-1,,,,,,
noise,-1,,,,,,
noisy,-2,,,,,,
nonchalant,-1,,,,,,
none,-1,,,,,,
nonplus,1,,,,,,
nonsense,-2,,,,,,
nonsensical ,-1,,,,,,
nosend,-1,,,,,,
nosey,-2,,,,,,
notorious,-1,,,,,,
novice,-2,,,,,,
nowell,-2,,,,,,
noxious,-1,,,,,,
nucklehead,-2,,,,,,
nude,-1,,,,,,
nuisance,-1,,,,,,
nullification,-2,,,,,,
nullify,-2,,,,,,
numb,-2,,,,,,
numpty,-2,,,,,,
nurtur,1,,,,,,
nutcase,-2,,,,,,
nutter,-2,,,,,,
oaf,-2,,,,,,
obes,-2,,,,,,
objection,-2,,,,,,
objurgate,-1,,,,,,
oblique,-2,,,,,,
obliterate,-2,,,,,,
obnoxious,-1,,,,,,
obnubilate,-1,,,,,,
obscure,-1,,,,,,
obsess,-1,,,,,,
obsolete,-2,,,,,,
obstacle,-2,,,,,,
obstinate,-2,,,,,,
obstruct,-1,,,,,,
obstruction,-2,,,,,,
obtuse,-1,,,,,,
odd,-1,,,,,,
oddity,-2,,,,,,
ode,-2,,,,,,
odeshi,-2,,,,,,
odoyo,-2,,,,,,
offence,-2,,,,,,
offend,-1,,,,,,
offender,-2,,,,,,
offens,-1,,,,,,
offset,-1,,,,,,
ogbanje,-2,,,,,,
ogbonge,2,,,,,,
ojoro,-2,,,,,,
ok,1,,,,,,
okay,1,,,,,,
okies,1,,,,,,
okays,1,,,,,,
oks,1,,,,,,
ole,-2,,,,,,
oloshi,-2,,,,,,
omfg,-2,,,,,,
omg,1,,,,,,
ominous,-1,,,,,,
omissions,-2,,,,,,
omit,-2,,,,,,
onekain,-1,,,,,,
onrush,-2,,,,,,
onset,-1,,,,,,
onslaught,-2,,,,,,
openminded,1,,,,,,
openness,1,,,,,,
opg,1,,,,,,
opinionated,-2,,,,,,
oponu,-2,,,,,,
opor,2,,,,,,
opp,1,,,,,,
opponent,-2,,,,,,
oppose,-2,,,,,,
opposition,-2,,,,,,
oppress,-1,,,,,,
opprobrious,-1,,,,,,
optimal,1,,,,,,
optimism,2,,,,,,
optimistic,2,,,,,,
optimistic,1,,,,,,
ordeal,-1,,,,,,
ordered,1,,,,,,
organized,1,,,,,,
original,1,,,,,,
orijo,-1,,,,,,
ornament,1,,,,,,
orobo,-1,,,,,,
orosco,-1,,,,,,
orphan,-2,,,,,,
orphan,-1,,,,,,
osha,2,,,,,,
oshaprapra,2,,,,,,
ostracise,-1,,,,,,
ostracize,-1,,,,,,
oust,-2,,,,,,
outbreak,-2,,,,,,
outburst,-2,,,,,,
outcast,-2,,,,,,
outcry,-1,,,,,,
outgoing,1,,,,,,
outlaw,-2,,,,,,
outrag,-1,,,,,,
outrageous,-1,,,,,,
outsider,-2,,,,,,
outstanding,2,,,,,,
overbearing,-2,,,,,,
overcharge,-2,,,,,,
overcompensate,1,,,,,,
overcrowd,-1,,,,,,
overcrowded,-1,,,,,,
overcrowding,-1,,,,,,
overestimate,-1,,,,,,
overflow,-2,,,,,,
overindulgence,-1,,,,,,
overjoyed,1,,,,,,
overlook,-1,,,,,,
overly,-1,,,,,,
overpower,-2,,,,,,
overrate,-1,,,,,,
overrun,-2,,,,,,
oversabi,-1,,,,,,
oversight,-2,,,,,,
overtake,1,,,,,,
overthrow,-2,,,,,,
overturn,-2,,,,,,
overweening,-1,,,,,,
overweight,-2,,,,,,
overwhelm,1,,,,,,
overwhelmed,1,,,,,,
overwhelming,1,,,,,,
overwork,-2,,,,,,
owe,-2,,,,,,
owing,-1,,,,,,
oya,-1,,,,,,
pachydermatous,-1,,,,,,
pacify ,1,,,,,,
padi,1,,,,,,
pain,-1,,,,,,
pained,-1,,,,,,
painful,-2,,,,,,
painfully,-2,,,,,,
paining,-1,,,,,,
pains,-1,,,,,,
palava,-2,,,,,,
palpable,1,,,,,,
paltry,-2,,,,,,
pambering,1,,,,,,
pamper,2,,,,,,
pampered,2,,,,,,
pampers,2,,,,,,
pandemonium,-2,,,,,,
panic,-1,,,,,,
para,-2,,,,,,
paradise,1,,,,,,
paralysis,-2,,,,,,
paralyzed,-2,,,,,,
parasit,-1,,,,,,
partie,1,,,,,,
partition,-2,,,,,,
party,1,,,,,,
passable ,1,,,,,,
passe,-2,,,,,,
passion,1,,,,,,
passionate,1,,,,,,
passionate,1,,,,,,
passionately,1,,,,,,
pathetic,-1,,,,,,
pathetic,-1,,,,,,
patient,1,,,,,,
patiently,2,,,,,,
patriotic,1,,,,,,
peace,1,,,,,,
peche ,1,,,,,,
peculiar,-1,,,,,,
pending,-1,,,,,,
pepper,1,,,,,,
perfect,1,,,,,,
perfectly,1,,,,,,
peril,-2,,,,,,
perish,-2,,,,,,
perpetual,1,,,,,,
perplex,-1,,,,,,
persevering,1,,,,,,
pertain,-1,,,,,,
perturb,-1,,,,,,
pervert ,-1,,,,,,
pest,-2,,,,,,
pester,-1,,,,,,
pestiferous,-1,,,,,,
pettie,-1,,,,,,
petty,-1,,,,,,
phlebotomize,-1,,,,,,
phobi,-1,,,,,,
picturesque,2,,,,,,
piffle,-2,,,,,,
pigeonhole,-1,,,,,,
pillock,-2,,,,,,
pinch,-1,,,,,,
pinhead,-2,,,,,,
pirate,-1,,,,,,
piss,-1,,,,,,
pissed,-1,,,,,,
pissup,1,,,,,,
piti,-2,,,,,,
pity,-2,,,,,,
plague,-2,,,,,,
plaintiff,-2,,,,,,
play,1,,,,,,
played,1,,,,,,
playful,2,,,,,,
playing,2,,,,,,
playplay,-1,,,,,,
plays,2,,,,,,
pleasant,1,,,,,,
pleasantly,2,,,,,,
pleasing,1,,,,,,
pleasure,1,,,,,,
plight,-2,,,,,,
plod,-2,,,,,,
plonker,-2,,,,,,
pluck,-2,,,,,,
plume,-1,,,,,,
point,-1,,,,,,
pointless,-2,,,,,,
poise,1,,,,,,
poison,-1,,,,,,
polite,-1,,,,,,
pollute,-1,,,,,,
pompous,-2,,,,,,
poor,-1,,,,,,
poorer,-1,,,,,,
poorly,-1,,,,,,
poppycock,-2,,,,,,
popular,2,,,,,,
popularis,1,,,,,,
popularity,2,,,,,,
populariz,1,,,,,,
portable,1,,,,,,
pose,1,,,,,,
positive,1,,,,,,
positively,1,,,,,,
positivethinking,2,,,,,,
pout,-2,,,,,,
poverty,-2,,,,,,
powerful,2,,,,,,
powerless,-2,,,,,,
praise,2,,,,,,
prannock,-2,,,,,,
prat,-2,,,,,,
precarious,-2,,,,,,
precious,2,,,,,,
precipitate,-2,,,,,,
precise,2,,,,,,
precisely,1,,,,,,
predicament,-2,,,,,,
preen,-1,,,,,,
prefer,1,,,,,,
preferential,-1,,,,,,
preferred,1,,,,,,
prejudic,-1,,,,,,
prejudiced,-1,,,,,,
preposterous ,-1,,,,,,
pressure,-1,,,,,,
prestigious,1,,,,,,
presumptuous,-1,,,,,,
pretend,-1,,,,,,
pretender,-1,,,,,,
pretense,-2,,,,,,
pretentious,-2,,,,,,
prettie,1,,,,,,
prettily,2,,,,,,
pretty,1,,,,,,
priceless,1,,,,,,
prick,-1,,,,,,
prickle,1,,,,,,
pride,2,,,,,,
prison,-2,,,,,,
prisoner,-1,,,,,,
privilege,1,,,,,,
privileged,1,,,,,,
prize,1,,,,,,
problem,-2,,,,,,
problematic,-2,,,,,,
procrastinat,-2,,,,,,
prod,-2,,,,,,
profane,-1,,,,,,
proficient,1,,,,,,
profit,2,,,,,,
profitable,2,,,,,,
profiteer,-2,,,,,,
profitless,-2,,,,,,
profusely,1,,,,,,
progress,2,,,,,,
prohibit,-1,,,,,,
prohibition,-1,,,,,,
promiscuous,-1,,,,,,
promise,1,,,,,,
promising,1,,,,,,
promissory,1,,,,,,
promote,1,,,,,,
propaganda,-2,,,,,,
proper,1,,,,,,
properly,1,,,,,,
proscription,-1,,,,,,
prosecute,-1,,,,,,
prosper,2,,,,,,
prosperity,2,,,,,,
prosperous,2,,,,,,
prostration,-2,,,,,,
protest,-2,,,,,,
protest,-1,,,,,,
proud,2,,,,,,
proudhon,1,,,,,,
proudly,1,,,,,,
provocation,-2,,,,,,
provoke,-1,,,,,,
provoking,-1,,,,,,
prowl,-2,,,,,,
pry,-2,,,,,,
puk,-1,,,,,,
puka,1,,,,,,
pukka,1,,,,,,
puma,-1,,,,,,
punch,-1,,,,,,
punish,-2,,,,,,
puny,-2,,,,,,
pursue,1,,,,,,
puzzlement,-2,,,,,,
qualm,-2,,,,,,
quandary,-2,,,,,,
quanta,-1,,,,,,
quarrel,-1,,,,,,
quarrel,-2,,,,,,
queer,-2,,,,,,
query,-1,,,,,,
questionable,-2,,,,,,
questionable,-1,,,,,,
quetch,1,,,,,,
queue,-2,,,,,,
quibble,-2,,,,,,
quick,2,,,,,,
quickly,2,,,,,,
quiet,2,,,,,,
quietly,2,,,,,,
quit,-2,,,,,,
quitter,-2,,,,,,
quiver,-2,,,,,,
racist,-2,,,,,,
radian,1,,,,,,
radians,1,,,,,,
radiant,1,,,,,,
radical,-2,,,,,,
rage,-1,,,,,,
raging,-1,,,,,,
raid,-2,,,,,,
raise,1,,,,,,
raiseshoulder,-1,,,,,,
rake,-1,,,,,,
ram,-1,,,,,,
ramble,-2,,,,,,
rampant,-2,,,,,,
rancid,-1,,,,,,
rant,-1,,,,,,
rape,-2,,,,,,
rapeseed,1,,,,,,
raping,-1,,,,,,
rapist,-1,,,,,,
rapt,1,,,,,,
rarify,-1,,,,,,
rascal,-1,,,,,,
rash,-2,,,,,,
rat,-1,,,,,,
ration,-2,,,,,,
ravage,-1,,,,,,
ravish,-2,,,,,,
raz,-2,,,,,,
reactionar,-2,,,,,,
reactivate,2,,,,,,
reactive,1,,,,,,
readiness,1,,,,,,
ready,1,,,,,,
real,1,,,,,,
reasonable,1,,,,,,
reassure,2,,,,,,
rebel,-2,,,,,,
rebuff,-2,,,,,,
rebuke,-2,,,,,,
rebut,-2,,,,,,
recalcitrant,-2,,,,,,
recede,-2,,,,,,
recession,-2,,,,,,
reckless,-2,,,,,,
reclaim,1,,,,,,
recoil,-2,,,,,,
recompense,1,,,,,,
reconcile,1,,,,,,
recoup,-1,,,,,,
recover,1,,,,,,
recreate,1,,,,,,
recrudesce,-2,,,,,,
rectified,2,,,,,,
red,-1,,,,,,
redress,1,,,,,,
redundan,-2,,,,,,
redundant,-1,,,,,,
reek,-1,,,,,,
refer,-1,,,,,,
refine,-1,,,,,,
reform,1,,,,,,
refrain,-2,,,,,,
refresh,1,,,,,,
refugee,-2,,,,,,
refund,2,,,,,,
refunded,2,,,,,,
refusal,-1,,,,,,
refuse,-1,,,,,,
refused,-1,,,,,,
refutable,-1,,,,,,
regain,1,,,,,,
regard,1,,,,,,
regardless,-1,,,,,,
regress,-1,,,,,,
regret,-2,,,,,,
regretful,-2,,,,,,
reject,-2,,,,,,
rejoice,1,,,,,,
relapse,-2,,,,,,
relax,1,,,,,,
relegate,-2,,,,,,
relentless,1,,,,,,
relevant,1,,,,,,
reliable,2,,,,,,
reliant,1,,,,,,
relief,2,,,,,,
relieve,1,,,,,,
reluctant,-1,,,,,,
remand,-1,,,,,,
remorse,-1,,,,,,
remunerate,1,,,,,,
renounce,-2,,,,,,
renunciation,-2,,,,,,
repair,1,,,,,,
repay,1,,,,,,
repeal,-2,,,,,,
repel,-1,,,,,,
replenish,1,,,,,,
reprehensib,-1,,,,,,
repress,-2,,,,,,
reproach,-2,,,,,,
reprobate,-1,,,,,,
reproducible,1,,,,,,
repudiate,-2,,,,,,
repulse,-2,,,,,,
repulsive,-1,,,,,,
requiem,-1,,,,,,
resent,-1,,,,,,
resign,-1,,,,,,
resignation,-2,,,,,,
resolved,2,,,,,,
resourceful,2,,,,,,
resourcefulness,2,,,,,,
respect,1,,,,,,
respectable,2,,,,,,
respected,2,,,,,,
responsive,1,,,,,,
restless,-2,,,,,,
restrain,-2,,,,,,
restrict,-2,,,,,,
restricted,-1,,,,,,
retard,-1,,,,,,
retarded,-1,,,,,,
retch,-1,,,,,,
retire,-1,,,,,,
retreat,-2,,,,,,
retrieve,1,,,,,,
revenge,-2,,,,,,
revere,2,,,,,,
reversal,-1,,,,,,
reverse,-1,,,,,,
reversed,2,,,,,,
revert,-1,,,,,,
revigor,2,,,,,,
revilement ,-1,,,,,,
revitalize,2,,,,,,
revoke,-2,,,,,,
revolt,-1,,,,,,
revolution,-1,,,,,,
revolutionize,1,,,,,,
reward,2,,,,,,
rewarding,2,,,,,,
ribbing,-1,,,,,,
rich,1,,,,,,
richness,2,,,,,,
rid,-2,,,,,,
ridiculous,-2,,,,,,
ridiculously,-2,,,,,,
rig,-1,,,,,,
rigging,-1,,,,,,
right,1,,,,,,
rigid,-2,,,,,,
rigor,1,,,,,,
rigorous,1,,,,,,
rile,-2,,,,,,
riot,-1,,,,,,
rip,-2,,,,,,
risk,-2,,,,,,
risky,-1,,,,,,
rival,-1,,,,,,
rivalry,-1,,,,,,
rob,-2,,,,,,
robber,-2,,,,,,
robust,2,,,,,,
rock,1,,,,,,
rocky,1,,,,,,
rofl,1,,,,,,
rogue,-2,,,,,,
romantic,1,,,,,,
rook,-1,,,,,,
rot,-2,,,,,,
rotten,-1,,,,,,
rough,-1,,,,,,
roughshod,-1,,,,,,
roundabout,-2,,,,,,
rouse,-1,,,,,,
rub,-1,,,,,,
rubbish,-1,,,,,,
rude,-2,,,,,,
rudely,-2,,,,,,
rue,-2,,,,,,
ruffian,-2,,,,,,
ruin,-2,,,,,,
ruins,1,,,,,,
ruitless,-1,,,,,,
rumor,-2,,,,,,
rumple,-2,,,,,,
runaway,-2,,,,,,
rupture,-2,,,,,,
rush,-1,,,,,,
rusty,-2,,,,,,
ruthless,-1,,,,,,
sabi,1,,,,,,
sabiness,1,,,,,,
sabotage,-2,,,,,,
sack,-2,,,,,,
sad,-2,,,,,,
sadden,-2,,,,,,
saddle,-1,,,,,,
sadly,-2,,,,,,
sadness,-1,,,,,,
safe,2,,,,,,
sag,-2,,,,,,
sane,1,,,,,,
sank,-2,,,,,,
sap,-1,,,,,,
sarcas,-1,,,,,,
satan,-1,,,,,,
satisfactory,2,,,,,,
satisfied,2,,,,,,
satisfy,2,,,,,,
savage,-1,,,,,,
save,2,,,,,,
save,1,,,,,,
scald,-2,,,,,,
scam,-2,,,,,,
scamming,-2,,,,,,
scandal,-2,,,,,,
scandalize,-2,,,,,,
scandalous,-2,,,,,,
scapegoat,-1,,,,,,
scar,-2,,,,,,
scarcity,-2,,,,,,
scare,-1,,,,,,
scarecrow,1,,,,,,
scared,-1,,,,,,
scaremonger,-1,,,,,,
scariest,-1,,,,,,
scaring,-1,,,,,,
scary,-1,,,,,,
scatter,-1,,,,,,
sceptic,-2,,,,,,
scoff,-2,,,,,,
scold,-2,,,,,,
scope,-1,,,,,,
scorch,-2,,,,,,
scoreless,-1,,,,,,
scorn,-2,,,,,,
scorn,-1,,,,,,
scoundrel,-2,,,,,,
scourge,-1,,,,,,
scourge,-1,,,,,,
scowl,-2,,,,,,
scrag,-1,,,,,,
scrap,-2,,,,,,
scrape,-2,,,,,,
scratch,-1,,,,,,
scratchscratch,-1,,,,,,
scream,-1,,,,,,
scream,-2,,,,,,
screech,-2,,,,,,
screw,-1,,,,,,
scrub,-1,,,,,,
scrumptious,1,,,,,,
scrutinize,-2,,,,,,
scuffle,-2,,,,,,
scum,-2,,,,,,
scummy,-2,,,,,,
scurrilous ,-1,,,,,,
secede,-2,,,,,,
secession,-2,,,,,,
secrecy,-1,,,,,,
secret,-1,,,,,,
secure,2,,,,,,
secured,1,,,,,,
sedate,-1,,,,,,
sedentary,-2,,,,,,
sediment,1,,,,,,
sedimentation,1,,,,,,
seefinish,-1,,,,,,
seeth,-2,,,,,,
segregation,-2,,,,,,
seize,-2,,,,,,
seizure,-1,,,,,,
selfish,-2,,,,,,
senil,-2,,,,,,
senseless,-2,,,,,,
sensible,1,,,,,,
sensual,-2,,,,,,
sentimental,1,,,,,,
sepulchral,-1,,,,,,
sequester,-2,,,,,,
serene,1,,,,,,
serious,-2,,,,,,
seriously,-1,,,,,,
seriousness,-2,,,,,,
servitude,-2,,,,,,
set,1,,,,,,
sever,-2,,,,,,
severe,-1,,,,,,
severity,-2,,,,,,
sexist,-2,,,,,,
sexy,2,,,,,,
shabby,-2,,,,,,
shady,-2,,,,,,
shaft,-1,,,,,,
shaggy,-2,,,,,,
shake,-1,,,,,,
shakespear,1,,,,,,
shaki,-2,,,,,,
shaky,-2,,,,,,
shallow,-2,,,,,,
sham,-2,,,,,,
shame,-2,,,,,,
shameful,-2,,,,,,
shameless,-2,,,,,,
shameshame,-1,,,,,,
shaparly,2,,,,,,
share,1,,,,,,
shared,1,,,,,,
shares,1,,,,,,
sharing,1,,,,,,
shark,-2,,,,,,
sharp,1,,,,,,
shine,1,,,,,,
shipwreck,-2,,,,,,
shirk,-2,,,,,,
shit,-2,,,,,,
shitty,-2,,,,,,
shiva,-2,,,,,,
shiver,-2,,,,,,
shock,-1,,,,,,
shocked,-1,,,,,,
shocking,-1,,,,,,
shocking,-1,,,,,,
shoddy,-1,,,,,,
shook,-2,,,,,,
shoot,-1,,,,,,
short,-1,,,,,,
shortage,-2,,,,,,
shortcoming,-2,,,,,,
shortsighted,-2,,,,,,
shot,-2,,,,,,
shout ,-1,,,,,,
shove,-1,,,,,,
shred,-2,,,,,,
shrew,-2,,,,,,
shriek,-2,,,,,,
shrill,-2,,,,,,
shrivel,-2,,,,,,
shroud,-2,,,,,,
shun,-2,,,,,,
shy,-1,,,,,,
shy,-2,,,,,,
sick,-1,,,,,,
sicken,-2,,,,,,
sickening,-2,,,,,,
sickly,-2,,,,,,
sickness,-2,,,,,,
sidon,1,,,,,,
siege,-2,,,,,,
silli,2,,,,,,
silly,-2,,,,,,
simpleton,-2,,,,,,
simplistic,-2,,,,,,
simpu,1,,,,,,
simulated,-2,,,,,,
sin,-2,,,,,,
sincer,1,,,,,,
sinful,-2,,,,,,
sinister,-1,,,,,,
sins,-1,,,,,,
skon,-1,,,,,,
skank,-2,,,,,,
skata,-2,,,,,,
skeptic,-2,,,,,,
skeptical,-1,,,,,,
sketchy,-2,,,,,,
skillful,1,,,,,,
skinned,-1,,,,,,
skirmish,-2,,,,,,
skulk,-2,,,,,,
slack,-1,,,,,,
slam,-2,,,,,,
slander,-2,,,,,,
slap,-1,,,,,,
slash,-2,,,,,,
slash,-1,,,,,,
slaughter,-2,,,,,,
slave,-1,,,,,,
slayer,-2,,,,,,
sleaz,-1,,,,,,
sleepless,-1,,,,,,
slicker,-1,,,,,,
slight,1,,,,,,
slime,-2,,,,,,
slit,-1,,,,,,
sloppy,-2,,,,,,
sloth,-2,,,,,,
slothful,-1,,,,,,
slow,-2,,,,,,
slug,-2,,,,,,
sluggish,-2,,,,,,
slump,-1,,,,,,
slur,-2,,,,,,
slut,-1,,,,,,
sluttish,-1,,,,,,
sly,-2,,,,,,
smack,-2,,,,,,
small,-1,,,,,,
smallsmall,1,,,,,,
smart,2,,,,,,
smarter,2,,,,,,
smash,-2,,,,,,
smash,-1,,,,,,
smear,-2,,,,,,
smell,-1,,,,,,
smelly,-1,,,,,,
smellysmelly,-1,,,,,,
smesme,-1,,,,,,
smil,1,,,,,,
smile,1,,,,,,
smooth,1,,,,,,
smoothly,1,,,,,,
smother,-2,,,,,,
smug,-2,,,,,,
smuggle,-2,,,,,,
snake,-1,,,,,,
snare,-2,,,,,,
snarl,-1,,,,,,
snatch,-2,,,,,,
sneak,-1,,,,,,
sneer,-2,,,,,,
snitch,-1,,,,,,
snob,-1,,,,,,
snore,-2,,,,,,
snuggle,1,,,,,,
sob,-1,,,,,,
sobbed,-1,,,,,,
sobbing,-1,,,,,,
sober,-1,,,,,,
sobs,-1,,,,,,
sociab,2,,,,,,
sofri,1,,,,,,
solemn,-1,,,,,,
solemn,-1,,,,,,
somber,-2,,,,,,
sophisticated,1,,,,,,
sore,-2,,,,,,
soreness,-2,,,,,,
soreness,-1,,,,,,
sorrow,-1,,,,,,
sorry,-1,,,,,,
soulmate,1,,,,,,
sour,-2,,,,,,
space,-2,,,,,,
spam,-2,,,,,,
spank,-2,,,,,,
sparkle,1,,,,,,
spastic,-2,,,,,,
spaz,-2,,,,,,
spear,-2,,,,,,
special,2,,,,,,
speechless,-1,,,,,,
speedily,1,,,,,,
speedy,2,,,,,,
spew,-2,,,,,,
spill,-1,,,,,,
spinster,-2,,,,,,
spite,-1,,,,,,
splend,1,,,,,,
splendid,1,,,,,,
split ,-2,,,,,,
